passage_id,passage,school,program
P11,"Students completing a double major in the Bachelor of Business do not have the opportunity to undertake a minor. The double-major structure instead allocates study to two majors, university electives or Business option subjects and internships, foundation subjects, and a capstone subject.","Economics, Finance and Marketing","Bachelor of Business"
P12,"To graduate from the Bachelor of Commerce, students must complete 9 core subjects worth 108 credit points, 1 capstone subject worth 12 credit points, 1 compulsory major worth 96 credit points, a minor or four subjects from any minor worth 48 credit points, and 2 university electives worth 24 credit points. Eight of the core subjects are normally completed in the first year.","Economics, Finance and Marketing","Bachelor of Commerce"
P13,"The Bachelor of Commerce includes Work Integrated Learning (WIL) subjects. Students normally begin studying their chosen major or minor in the second year and may also complete one of the program's Work Integrated Learning subjects.","Economics, Finance and Marketing","Bachelor of Commerce"
P14,"The Business Information Systems major in the Bachelor of Business does not accommodate a second major because of its course structure. Students choosing Business Information Systems can instead pursue a second minor to broaden their studies.","Economics, Finance and Marketing","Bachelor of Business"
P15,"Students studying the Bachelor of Business online can choose between full-time and part-time study. The degree contains 24 courses. Full-time students complete eight courses per year over three years, while part-time students may complete four courses per year over six years.","Economics, Finance and Marketing","Bachelor of Business"
P16,"The expected study commitment for the online Bachelor of Business is approximately 10 to 12 hours per week for each subject. Each online term runs for 10 weeks.","Economics, Finance and Marketing","Bachelor of Business"
P17,"Applicants to the Bachelor of Design (Games) are required to complete a selection task. The selection task asks applicants to complete one of the provided briefs and is used as part of the selection process. Most applicants can be selected on the basis of the selection task, with a folio presentation requested if further information is needed.","Design","Bachelor of Games"
P18,"Applicants to the Master of Animation, Games and Interactivity normally need to complete and submit a selection task. However, graduates of RMIT's Bachelor of Design (Games), Bachelor of Design (Animation and Interactive Media), or Bachelor of Design (Digital Media) with a minimum overall GPA of 3.0 out of 4.0 are exempt from the selection task requirement. Graduates of the RMIT Graduate Certificate in Animation, Games and Interactivity are also exempt.","Design","Master of Animation, Games and Interactivity"
P19,"The Bachelor of Games provides opportunities for students to build a professional portfolio throughout the degree. In first year, students produce a range of playable and creative outcomes that begin to form their professional portfolio. In the final year, students prepare for professional practice by developing a portfolio alongside their major project. Students graduate having built a technical and conceptual portfolio in game art, design and development.","Games","Bachelor of Games"
P20,"In the final year of the Bachelor of Games, students can prepare for professional practice by developing a portfolio, completing an internship, or exploring emerging areas of games through research-focused study. The degree also has close connections to the local independent games industry through teaching staff, industry projects, events, festivals and exhibitions.","Games","Bachelor of Games"
P21,"Applicants applying to the Bachelor of Games through VTAC must complete and submit the Games selection task. Applicants must apply through VTAC and complete all required selection tasks by the specified deadline to be considered. The RMIT Year 12 Selection Task Guide states that submitting a selection task does not constitute an application for an RMIT program; applicants must apply through VTAC, complete all required selection tasks by the specified deadline, and wait to hear from RMIT about any next steps.","Games","Bachelor of Games"
P22,"In the Bachelor of Games, students develop their skills through studio projects and practical learning activities. In first year, students explore how games are designed, created and experienced, while learning about game mechanics, systems thinking, game art, asset creation and game engines. Students develop their design process by researching, prototyping, testing and refining ideas through iterative practice. In later years, students work on collaborative game projects and a substantial game project in their final year.","Games","Bachelor of Games"
P23,"Game design graduates can work across the games industry and broader creative digital sectors. Career opportunities include roles such as 2D or 3D game artist, game designer, game producer, game programmer, independent game developer or studio founder, and creative roles in digital media or interactive production teams.","Games","Bachelor of Games"
P24,"The Bachelor of Graphic Design has a strong focus on studio learning, enabling students to learn by doing. Throughout the degree, students respond to design briefs, develop and test ideas through making and iteration, present and critique their work, and build a professional portfolio. Industry is embedded throughout the course, with opportunities to work on industry-partnered studio projects and build real-world experience through projects with industry partners including Penguin Books, Deloitte, ABC, MECCA and Unisuper.","Design","Bachelor of Graphic Design"
P25,"The Bachelor of Laws/Bachelor of Commerce dual program is designed so students take a mix of both Law and Commerce subjects across their semesters, with an equal distribution of law and commerce courses in each semester, rather than completing one degree before starting the other.","Law;Economics, Finance and Marketing","Bachelor of Laws/Bachelor of Commerce"
P26,"In the Bachelor of Laws/Bachelor of Commerce dual program, once a student has commenced their major, they cannot change to a different major. Students are advised to consult a course advisor before selecting a major.","Law;Economics, Finance and Marketing","Bachelor of Laws/Bachelor of Commerce"
P27,"The Bachelor of Laws/Bachelor of Commerce dual program has a total duration of 5 years full-time, or 10 years part-time.","Law;Economics, Finance and Marketing","Bachelor of Laws/Bachelor of Commerce"
P28,"Entry to the Master of Animation, Games and Interactivity does not require a prior background specifically in animation or games. Applicants are eligible with successful completion of an Australian Bachelor degree (or equivalent overseas qualification) in any field, or alternatively at least three years of professional experience in the animation, games, interactivity or digital media area.","Design","Master of Animation, Games and Interactivity"
P29,"Applicants to the Bachelor of Graphic Design are required to complete and submit a selection task as part of their application, alongside meeting the standard academic entry requirements. The selection task is assessed as part of the selection process and must be submitted by the specified deadline.","Design","Bachelor of Graphic Design"
P30,"Beyond tuition fees, students in the Bachelor of Graphic Design pay a Student Services and Amenities Fee (SSAF), capped at AU$386 for 2027, as well as additional program-related costs such as textbooks, equipment, and field trips.","Design","Bachelor of Graphic Design"
P31,"International applicants to the Bachelor of Design (Games) must meet an English language requirement of a minimum IELTS Academic overall score of 6.5, with no band less than 6.0, or an equivalent test result.","Design","Bachelor of Games"
P32,"The Bachelor of Business does not require students to choose a major. Students who do not select a major instead complete their study across the wider range of business and cross-disciplinary elective subjects available in the program.","Economics, Finance and Marketing","Bachelor of Business"
P33,"RMIT provides students specialist computer labs featuring art workstations, collaboration spaces, an Esports streaming lab, and dual-screen workstations for programming and working in game engines simultaneously. Students will be encouraged to use industry standard 3D modelling software such as Blender and Maya.","Design","Bachelor of Games"
P34,"Students in the Bachelor of Games are assessed through staff and peer review, problem-solving, collaboration, portfolio-building, and public showcases","Design","Bachelor of Games"
P35,"Students in the Bachelor of Design Games may switch to a part-time study load at any point in their course.","Design","Bachelor of Games"
P36,"Students in the Bachelor of Games work through studio projects involving game design, mechanics, systems, game art, asset creation, game engines, prototyping and collaborative production.","Design","Bachelor of Games"
P37,"Students in the Bachelor of Games at RMIT are linked to industry-connected projects and practical studio learning, including collaborative projects and publicly showcased final-year work.","Design","Bachelor of Games"
P38,"The Bachelor of Games offers students the opportunity to complete an internship, or undertake further research as a captsone project.","Design","Bachelor of Games"
P39,"The tuition for the Bachelor of Business depends on whether the student is domestic or international and their study load. For 2027, RMIT lists AU$47,040 annual tuition for international students for the on-campus Bachelor of Business; domestic students may have Commonwealth Supported Places","Economics, Finance and Marketing","Bachelor of Business"
P40,"The majors for the Bachelor of Graphic Design include Experience Design, Branding, Illustration, and Typography.","Design","Bachelor of Graphic Design"
P41,"Graduates for Bachelor of Graphic design can pursue careers including graphic designer, UX/UI designer, brand designer, illustrator, publication/editorial designer, and creative roles in agencies or in-house design teams.","Design","Bachelor of Graphic Design"
P42,"The Bachelor of Games develops broad capabilities across game art, design, development, systems, game engines, and collaborative production.","Design","Bachelor of Games"
P43,"To apply for a Bachelor of Games, domestic students must have successfully completed the Victorian Certificate of Education (VCE) or equivalent, and achieved a study score of at least 25 in English other than EAR; or a study score of at least 27 in English as an Additional Language (EAL).","Design","Bachelor of Games"
P44,"When you successfully complete the Bachelor of Business, you may be eligible for entry into an RMIT Honours or postgraduate degree. You may be eligible for entry into the Master of Commerce after successfully completing the Bachelor of Business.","Economics, Finance and Marketing",Bachelor of Business
P45,"RMIT students have access to support services for study, careers and wellbeing. Student Connect provides help with administration, student support and academic advice, while IT Service Connect provides assistance with RMIT IT systems. RMIT University Library also provides free study support, including help with assignments, finding information, referencing, academic writing, study techniques, English, maths and science skills. Peer mentoring is available to help students with coursework, general study skills and academic confidence.",RMIT University,All programs
